Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category
APPLE	US	com.magshop.ns.okm.months.1.2	 	OK! Magazine Australia Subscription_200_30	 	IAY	1	6.36	05/01/2014	05/01/2014	AUD	AU	AUD	642291083	9.99	 	MAG0372.2	Renewal	1 Month	Entertainment
APPLE	US	com.magshop.ns.adb.months.6.1	 	Australasian Dirt Bike Magazine Subscription_500_180	 	IAY	1	15.9	05/01/2014	05/01/2014	AUD	AU	AUD	642289692	24.99	 	MAG0031	Renewal	6 Months	Sports
APPLE	US	MAG0352	PBL MEDIA PTY LTD.	Money Magazine Australia	1.3.5	7F	1	0	05/01/2014	05/01/2014	AUD	AU	AUD	574683215	0	 	 	 	 	Finance
APPLE	US	MAG1273	PBL MEDIA PTY LTD.	recipes+ Magazine	1.3.5	1F	1	0	05/01/2014	05/01/2014	USD	LA	USD	574676839	0	 	 	 	 	Food & Drink
APPLE	US	MAG1273	PBL MEDIA PTY LTD.	recipes+ Magazine	1.3.5	1F	1	0	05/01/2014	05/01/2014	USD	MD	USD	574676839	0	 	 	 	 	Food & Drink
APPLE	US	MAG1273	PBL MEDIA PTY LTD.	recipes+ Magazine	1.3.5	7F	1	0	05/01/2014	05/01/2014	USD	KR	USD	574676839	0	 	 	 	 	Food & Drink
APPLE	US	GTRG2014	PBL MEDIA PTY LTD.	GT 2014 Restaurant Guide	1.2.5	1	1	0	05/01/2014	05/01/2014	CHF	CH	CHF	705700418	0	 	 	 	 	Food & Drink
APPLE	US	GTRG2014	PBL MEDIA PTY LTD.	GT 2014 Restaurant Guide	1.2.5	1	1	0	05/01/2014	05/01/2014	EUR	FR	EUR	705700418	0	 	 	 	 	Food & Drink
APPLE	US	MAG0553	PBL MEDIA PTY LTD.	ZOO Weekly Australia	1.3.5	1F	1	0	05/01/2014	05/01/2014	ZAR	ZA	ZAR	622413964	0	 	 	 	 	Entertainment
APPLE	US	MAG2181	PBL MEDIA PTY LTD.	World of Knowledge Magazine Australia	1.3.6	1F	5	0	05/01/2014	05/01/2014	AUD	AU	AUD	707996622	0	 	 	 	 	Education
APPLE	US	com.magshop.ns.zoo.1401.1	 	ZOO Weekly 1401	 	IA1	1	1.9	05/01/2014	05/01/2014	AUD	AU	AUD	664947204	2.99	 	MAG0553	 	 	Entertainment
APPLE	US	MAG0958	PBL MEDIA PTY LTD.	Cosmopolitan Australia	1.4.0	1F	225	0	05/01/2014	05/01/2014	AUD	AU	AUD	639978764	0	 	 	 	 	Lifestyle
APPLE	US	MAG0031	PBL MEDIA PTY LTD.	Australasian Dirt Bike Magazine	1.3.5	1F	11	0	05/01/2014	05/01/2014	AUD	AU	AUD	639973451	0	 	 	 	 	Sports
APPLE	US	ACP016	PBL MEDIA PTY LTD.	QANTAS Magazine	1.3.0	1T	2	0	05/01/2014	05/01/2014	USD	US	USD	501279725	0	 	 	 	 	Travel
APPLE	US	au.com.bauermedia.wheels.2014.02.issue	 	Wheels 2014.02 - Feb issue	 	IA1	1	4.13	05/01/2014	05/01/2014	AUD	AU	AUD	648320130	6.49	 	SKU_Bauer_Wheels	 	 	Lifestyle
APPLE	US	MAG0369	PBL MEDIA PTY LTD.	NW Magazine	1.3.5	1F	12	0	05/01/2014	05/01/2014	NZD	NZ	NZD	574650057	0	 	 	 	 	Entertainment
APPLE	US	MAG0553	PBL MEDIA PTY LTD.	ZOO Weekly Australia	1.3.5	1F	1	0	05/01/2014	05/01/2014	USD	BR	USD	622413964	0	 	 	 	 	Entertainment
APPLE	US	SKU_Bauer_WeightWatchers	PBL MEDIA PTY LTD.	Weight Watchers Magazine Australia	1.0.12	1T	1	0	05/01/2014	05/01/2014	EUR	DE	EUR	646610584	0	 	 	 	 	Health & Fitness
APPLE	US	ACP_AWW_Recipes	PBL MEDIA PTY LTD.	The Australian Women's Weekly Cookbooks	2.2.1	1T	2	0	05/01/2014	05/01/2014	USD	US	USD	393065903	0	 	 	 	 	Food & Drink
APPLE	US	MAG0430	PBL MEDIA PTY LTD.	Shop Til You Drop	1.3.5	1F	5	0	05/01/2014	05/01/2014	NZD	NZ	NZD	574686823	0	 	 	 	 	Lifestyle
APPLE	US	MAG2068	PBL MEDIA PTY LTD.	Women's Fitness Magazine Australia	1.3.5	1F	1	0	05/01/2014	05/01/2014	JPY	JP	JPY	639975696	0	 	 	 	 	Health & Fitness
APPLE	US	com.magshop.ns.new.1418.1	 	NW 1418	 	IA1	1	17500	05/01/2014	05/01/2014	IDR	ID	IDR	738227029	25000	 	MAG0369	 	 	Entertainment
APPLE	US	SKU_Bauer_Australian_Geographic	PBL MEDIA PTY LTD.	Australian Geographic Magazine	1.0.16	1T	1	0	05/01/2014	05/01/2014	EUR	ES	EUR	661038898	0	 	 	 	 	Education
APPLE	US	com.magshop.ns.rcp.months.12.1	 	recipes+ Subscription_600_365	 	IAY	1	11.2	05/01/2014	05/01/2014	USD	MY	USD	575093861	15.99	 	MAG1273	Renewal	1 Year	Food & Drink
APPLE	US	ACP003	PBL MEDIA PTY LTD.	The Australian Women's Weekly	1.10.0	1T	1	0	05/01/2014	05/01/2014	INR	IN	INR	384025506	0	 	 	 	 	Entertainment
APPLE	US	ACP003	PBL MEDIA PTY LTD.	The Australian Women's Weekly	1.10.0	7T	1	0	05/01/2014	05/01/2014	CNY	CN	CNY	384025506	0	 	 	 	 	Entertainment
APPLE	US	MAG0372.2	PBL MEDIA PTY LTD.	OK! Magazine Australia	1.3.5	1F	12	0	05/01/2014	05/01/2014	AUD	AU	AUD	639977310	0	 	 	 	 	Entertainment
APPLE	US	ACP_AWW_Recipes	PBL MEDIA PTY LTD.	The Australian Women's Weekly Cookbooks	2.2.1	7T	3	0	05/01/2014	05/01/2014	ZAR	ZA	ZAR	393065903	0	 	 	 	 	Food & Drink
APPLE	US	ACP_AWW_Recipes	PBL MEDIA PTY LTD.	The Australian Women's Weekly Cookbooks	2.2.1	7T	2	0	05/01/2014	05/01/2014	EUR	ES	EUR	393065903	0	 	 	 	 	Food & Drink
APPLE	US	ACP_AWW_Recipes	PBL MEDIA PTY LTD.	The Australian Women's Weekly Cookbooks	2.2.1	7T	3	0	05/01/2014	05/01/2014	USD	LB	USD	393065903	0	 	 	 	 	Food & Drink
APPLE	US	ACP_AWW_Recipes	PBL MEDIA PTY LTD.	The Australian Women's Weekly Cookbooks	2.2.1	1T	4	0	05/01/2014	05/01/2014	CNY	CN	CNY	393065903	0	 	 	 	 	Food & Drink
APPLE	US	com.magshop.ns.rcp.1404.1	 	Recipes+ 1404	 	IA1	1	2.09	05/01/2014	05/01/2014	NZD	NZ	NZD	765123861	2.99	 	MAG1273	 	 	Food & Drink
APPLE	US	com.magshop.ns.rcp.1404.1	 	Recipes+ 1404	 	IA1	1	1.9	05/01/2014	05/01/2014	AUD	AU	AUD	765123861	2.99	 	MAG1273	 	 	Food & Drink
APPLE	US	au.com.acpmagazines.gourmettraveller.2014.may	 	GT May 2014	 	IA1	1	3.5	05/01/2014	05/01/2014	USD	MY	USD	670868560	4.99	 	ACPGT001	 	 	Food & Drink
APPLE	US	com.magshop.ns.dol.1405.1	 	Dolly 1405	 	IA1	1	3.49	05/01/2014	05/01/2014	NZD	NZ	NZD	643551408	4.99	 	MAG0184	 	 	Lifestyle
APPLE	US	SKU_Bauer_TopGear	PBL MEDIA PTY LTD.	TopGear Australia Magazine	1.0.9	7T	1	0	05/01/2014	05/01/2014	USD	TH	USD	725842093	0	 	 	 	 	Lifestyle
APPLE	US	SKU_Bauer_TopGear	PBL MEDIA PTY LTD.	TopGear Australia Magazine	1.0.9	7T	1	0	05/01/2014	05/01/2014	TWD	TW	TWD	725842093	0	 	 	 	 	Lifestyle
APPLE	US	SKU_Bauer_TopGear	PBL MEDIA PTY LTD.	TopGear Australia Magazine	1.0.9	1T	1	0	05/01/2014	05/01/2014	EUR	NL	EUR	725842093	0	 	 	 	 	Lifestyle
APPLE	US	MAG0410.1	PBL MEDIA PTY LTD.	Real Living Australia	1.3.8	1F	1	0	05/01/2014	05/01/2014	USD	CO	USD	823384894	0	 	 	 	 	Lifestyle
APPLE	US	MAG0067	PBL MEDIA PTY LTD.	Australian Motorcycle News	1.3.5	1F	11	0	05/01/2014	05/01/2014	AUD	AU	AUD	598117425	0	 	 	 	 	Sports
APPLE	US	com.magshop.rlw.1418.1	 	Rugby League Week 1418	 	IA1	1	17.5	05/01/2014	05/01/2014	CNY	CN	CNY	737568079	25	 	MAG0001	 	 	Lifestyle
APPLE	US	MAG0559	PBL MEDIA PTY LTD.	HOME Magazine NZ	1.3.8	1F	4	0	05/01/2014	05/01/2014	CAD	CA	CAD	817999055	0	 	 	 	 	Lifestyle
APPLE	US	MAG0559	PBL MEDIA PTY LTD.	HOME Magazine NZ	1.3.8	1F	1	0	05/01/2014	05/01/2014	USD	UY	USD	817999055	0	 	 	 	 	Lifestyle
APPLE	US	BeautyBites_001	PBL MEDIA PTY LTD.	Beauty Bites	1.2.2	1	1	0	05/01/2014	05/01/2014	NZD	NZ	NZD	684585688	0	 	 	 	 	Lifestyle
APPLE	US	au.com.acpmagazines.aww.subscriptions.1month	 	AWW Paid Subscription_200_30	 	IAY	1	1.82	05/01/2014	05/01/2014	EUR	IE	EUR	471819015	2.99	 	ACP003	Renewal	1 Month	Entertainment
APPLE	US	au.com.acpmagazines.aww.subscriptions.1month	 	AWW Paid Subscription_200_30	 	IAY	3	2.79	05/01/2014	05/01/2014	SGD	SG	SGD	471819015	3.98	 	ACP003	Renewal	1 Month	Entertainment
APPLE	US	com.magshop.hmg.1405.1	 	Real Living 2014-05	 	IA1	3	4.13	05/01/2014	05/01/2014	AUD	AU	AUD	802734345	6.49	 	MAG0001	 	 	Lifestyle
APPLE	US	com.magshop.ns.zoo.1417.1	 	ZOO Weekly 1417	 	IA1	1	1.4	05/01/2014	05/01/2014	USD	US	USD	738259661	1.99	 	MAG0553	 	 	Entertainment
APPLE	US	MAG0958	PBL MEDIA PTY LTD.	Cosmopolitan Australia	1.4.0	7F	1	0	05/01/2014	05/01/2014	EUR	AT	EUR	639978764	0	 	 	 	 	Lifestyle
APPLE	US	com.magshop.ns.gme.months.1.1	 	Good Health Subscription_200_30	 	IAY	3	2.54	05/01/2014	05/01/2014	AUD	AU	AUD	575094511	3.99	 	MAG0253	Renewal	1 Month	Health & Fitness
APPLE	US	MAG0204.1	PBL MEDIA PTY LTD.	Empire Australasia	1.3.8	1F	1	0	05/01/2014	05/01/2014	EUR	NL	EUR	823231884	0	 	 	 	 	Entertainment
APPLE	US	MAG0204.1	PBL MEDIA PTY LTD.	Empire Australasia	1.3.8	1F	1	0	05/01/2014	05/01/2014	USD	KH	USD	823231884	0	 	 	 	 	Entertainment
APPLE	US	MAG0410.1	PBL MEDIA PTY LTD.	Real Living Australia	1.3.8	1F	1	0	05/01/2014	05/01/2014	USD	KR	USD	823384894	0	 	 	 	 	Lifestyle
APPLE	US	com.magshop.ns.wdw.1412.1	 	Woman's Day 1412	 	IA1	1	1.9	05/01/2014	05/01/2014	AUD	AU	AUD	797233316	2.99	 	MAG0536	 	 	Entertainment
APPLE	US	MAG0430	PBL MEDIA PTY LTD.	Shop Til You Drop	1.3.5	1F	1	0	05/01/2014	05/01/2014	EUR	SK	EUR	574686823	0	 	 	 	 	Lifestyle
APPLE	US	MAG0256	PBL MEDIA PTY LTD.	Gourmet Traveller WINE Magazine	1.3.5	1F	1	0	05/01/2014	05/01/2014	EUR	EE	EUR	639981929	0	 	 	 	 	Lifestyle
APPLE	US	MAG0067	PBL MEDIA PTY LTD.	Australian Motorcycle News	1.3.5	1F	1	0	05/01/2014	05/01/2014	DKK	DK	DKK	598117425	0	 	 	 	 	Sports
APPLE	US	MAG0067	PBL MEDIA PTY LTD.	Australian Motorcycle News	1.3.5	1F	2	0	05/01/2014	05/01/2014	GBP	GB	GBP	598117425	0	 	 	 	 	Sports
APPLE	US	au.com.acpmagazines.gourmettraveller.subscriptions.2months	 	GT Paid Subscription_300_60	 	IAY	2	3.04	05/01/2014	05/01/2014	GBP	GB	GBP	471832469	4.99	 	ACPGT001	Renewal	2 Months	Food & Drink
APPLE	US	NZ_CO_ACPMEDIA_KIAORA	PBL MEDIA PTY LTD.	KiaOra	1.6.4	1F	1	0	05/01/2014	05/01/2014	AUD	AU	AUD	385173690	0	 	 	 	 	Travel
APPLE	US	NZ_CO_ACPMEDIA_KIAORA	PBL MEDIA PTY LTD.	KiaOra	1.6.4	1F	10	0	05/01/2014	05/01/2014	NZD	NZ	NZD	385173690	0	 	 	 	 	Travel
APPLE	US	SKUTRADER_SupplyChainReview	PBL MEDIA PTY LTD.	Supply Chain Review (SCR) for iPad	1.0	1T	1	0	05/01/2014	05/01/2014	MXN	MX	MXN	561378101	0	 	 	 	 	News
APPLE	US	com.magshop.ns.zoo.1318.1	 	ZOO Weekly 1318	 	IA1	1	2.1	05/01/2014	05/01/2014	USD	US	USD	622441285	2.99	 	MAG0553	 	 	Entertainment
APPLE	US	com.magshop.ns.rcp.months.12.1	 	recipes+ Subscription_600_365	 	IAY	1	0	05/01/2014	05/01/2014	NZD	NZ	NZD	575093861	0	 	MAG1273	New	1 Year	Food & Drink
APPLE	US	com.magshop.ns.rcp.months.12.1	 	recipes+ Subscription_600_365	 	IAY	1	0	05/01/2014	05/01/2014	AUD	AU	AUD	575093861	0	 	MAG1273	New	1 Year	Food & Drink
APPLE	US	MAG0253	PBL MEDIA PTY LTD.	Good Health Magazine	1.3.5	1F	7	0	05/01/2014	05/01/2014	IDR	ID	IDR	574688852	0	 	 	 	 	Health & Fitness
APPLE	US	au.com.acpmagazines.aww.subscriptions.1month	 	AWW Paid Subscription_200_30	 	IAY	51	2.54	05/01/2014	05/01/2014	AUD	AU	AUD	471819015	3.99	 	ACP003	Renewal	1 Month	Entertainment
APPLE	US	com.magshop.amw.1409.1	 	Australian Motorcycle News 1409	 	IA1	1	4.19	05/01/2014	05/01/2014	NZD	NZ	NZD	734187161	5.99	 	MAG0001	 	 	Lifestyle
APPLE	US	MAG0355	PBL MEDIA PTY LTD.	MOTOR Magazine Australia	1.3.5	7F	1	0	05/01/2014	05/01/2014	CNY	CN	CNY	639976688	0	 	 	 	 	Lifestyle
APPLE	US	MAG0369	PBL MEDIA PTY LTD.	NW Magazine	1.3.5	1F	1	0	05/01/2014	05/01/2014	USD	KR	USD	574650057	0	 	 	 	 	Entertainment
APPLE	US	MAG0369	PBL MEDIA PTY LTD.	NW Magazine	1.3.5	7F	1	0	05/01/2014	05/01/2014	USD	MY	USD	574650057	0	 	 	 	 	Entertainment
APPLE	US	MAG0369	PBL MEDIA PTY LTD.	NW Magazine	1.3.5	1F	1	0	05/01/2014	05/01/2014	SAR	SA	SAR	574650057	0	 	 	 	 	Entertainment
APPLE	US	au.com.acpmagazines.gourmettraveller.subscriptions.1year	 	GT Paid Subscription_600_365	 	IAY	9	25.45	05/01/2014	05/01/2014	AUD	AU	AUD	471832473	39.99	 	ACPGT001	Renewal	1 Year	Food & Drink
APPLE	US	au.com.acpmagazines.awwrecipes.subscriptions.1mth	 	The Australian Women’s Weekly Cookbooks Subscriptions_200_30	 	IAY	1	55300	05/01/2014	05/01/2014	IDR	ID	IDR	617841288	79000	 	ACP_AWW_Recipes	Renewal	1 Month	Food & Drink
APPLE	US	au.com.acpmagazines.aww.subscriptions.2months	 	AWW Paid Subscription_300_60	 	IAY	6	0	05/01/2014	05/01/2014	AUD	AU	AUD	471821181	0	 	ACP003	New	2 Months	Entertainment
APPLE	US	MAG0559	PBL MEDIA PTY LTD.	HOME Magazine NZ	1.3.8	1F	2	0	05/01/2014	05/01/2014	EUR	PT	EUR	817999055	0	 	 	 	 	Lifestyle
APPLE	US	com.magshop.ns.cbr.1403.2	 	Cosmo Bride 1403	 	IA1	1	6.36	05/01/2014	05/01/2014	AUD	AU	AUD	826151047	9.99	 	MAG1755.1	 	 	Lifestyle
APPLE	US	com.magshop.ns.wdw.1416.1	 	Woman's Day 1416	 	IA1	1	1.9	05/01/2014	05/01/2014	AUD	AU	AUD	797269238	2.99	 	MAG0536	 	 	Entertainment
APPLE	US	ACPGT001	PBL MEDIA PTY LTD.	Gourmet Traveller	1.10.0	1T	2	0	05/01/2014	05/01/2014	CNY	CN	CNY	374405599	0	 	 	 	 	Food & Drink
APPLE	US	ACPGT001	PBL MEDIA PTY LTD.	Gourmet Traveller	1.10.0	1T	2	0	05/01/2014	05/01/2014	EUR	GR	EUR	374405599	0	 	 	 	 	Food & Drink
APPLE	US	au.com.acpmagazines.gourmettraveller.subscriptions.1month	 	GT Paid Subscription_200_30	 	IAY	1	3.49	05/01/2014	05/01/2014	SGD	SG	SGD	471832348	4.98	 	ACPGT001	Renewal	1 Month	Food & Drink
APPLE	US	com.magshop.ns.gme.months.12.1	 	Good Health Subscription_600_365	 	IAY	2	22.27	05/01/2014	05/01/2014	AUD	AU	AUD	575094513	34.99	 	MAG0253	Renewal	1 Year	Health & Fitness
APPLE	US	au.com.acpmagazines.gourmettraveller.subscriptions.2months	 	GT Paid Subscription_300_60	 	IAY	1	0	05/01/2014	05/01/2014	AUD	AU	AUD	471832469	0	 	ACPGT001	New	2 Months	Food & Drink
APPLE	US	MAG0421	PBL MEDIA PTY LTD.	Rugby League Week	1.3.7	1F	1	0	05/01/2014	05/01/2014	USD	US	USD	505309539	0	 	 	 	 	Sports
APPLE	US	MAG0421	PBL MEDIA PTY LTD.	Rugby League Week	1.3.7	1F	1	0	05/01/2014	05/01/2014	USD	BR	USD	505309539	0	 	 	 	 	Sports
APPLE	US	SKU_Bauer_WeightWatchers	PBL MEDIA PTY LTD.	Weight Watchers Magazine Australia	1.0.12	1T	16	0	05/01/2014	05/01/2014	AUD	AU	AUD	646610584	0	 	 	 	 	Health & Fitness
APPLE	US	SKUTRADER_TradeABoat	PBL MEDIA PTY LTD.	Trade-A-Boat for iPad	1.0	1T	1	0	05/01/2014	05/01/2014	EUR	ES	EUR	561365874	0	 	 	 	 	News
APPLE	US	com.magshop.ns.zoo.1415.1	 	ZOO Weekly 1415	 	IA1	1	1.4	05/01/2014	05/01/2014	USD	US	USD	738259656	1.99	 	MAG0553	 	 	Entertainment
APPLE	US	ACPGT001	PBL MEDIA PTY LTD.	Gourmet Traveller	1.10.0	1T	3	0	05/01/2014	05/01/2014	USD	CO	USD	374405599	0	 	 	 	 	Food & Drink
APPLE	US	MAG0053	PBL MEDIA PTY LTD.	Australian Geographic Outdoor Magazine	1.3.5	1F	3	0	05/01/2014	05/01/2014	JPY	JP	JPY	639977537	0	 	 	 	 	Lifestyle
APPLE	US	com.mogeneration.acp.qantasmagazine.subscriptions.free	 	QANTAS Free sub	 	IAC	1	0	05/01/2014	05/01/2014	SGD	SG	SGD	501592717	0	 	ACP016	 	 	Travel
APPLE	US	com.magshop.ns.shp.1409.1	 	Shop Til you Drop 1409	 	IA1	12	1.9	05/01/2014	05/01/2014	AUD	AU	AUD	823931494	2.99	 	MAG0430	 	 	Lifestyle
APPLE	US	au.com.acpmagazines.gourmettraveller.subscriptions.1year	 	GT Paid Subscription_600_365	 	IAY	1	0	05/01/2014	05/01/2014	SGD	SG	SGD	471832473	0	 	ACPGT001	New	1 Year	Food & Drink
APPLE	US	MAG0184	PBL MEDIA PTY LTD.	Dolly Magazine Australia	1.3.5	1F	6	0	05/01/2014	05/01/2014	CNY	CN	CNY	639967384	0	 	 	 	 	Lifestyle
APPLE	US	com.magshop.ns.cos.months.6.1	 	Cosmopolitan Australia Subscription_500_180	 	IAY	1	0	05/01/2014	05/01/2014	AUD	AU	AUD	642292681	0	 	MAG0958	New	6 Months	Lifestyle
APPLE	US	com.magshop.ns.mby.months.2.1	 	Mother & Baby Magazine Australia Subscription_300_60	 	IAY	2	2.54	05/01/2014	05/01/2014	AUD	AU	AUD	642294339	3.99	 	MAG0354	Renewal	2 Months	Lifestyle
APPLE	US	NZ_CO_ACPMEDIA_KIAORA	PBL MEDIA PTY LTD.	KiaOra	1.6.4	1F	1	0	05/01/2014	05/01/2014	USD	TH	USD	385173690	0	 	 	 	 	Travel
APPLE	US	MAG1755.1	PBL MEDIA PTY LTD.	Cosmopolitan Bride Magazine Australia	1.3.8	1F	1	0	05/01/2014	05/01/2014	USD	PH	USD	823254501	0	 	 	 	 	Lifestyle
APPLE	US	MAG1755.1	PBL MEDIA PTY LTD.	Cosmopolitan Bride Magazine Australia	1.3.8	1F	1	0	05/01/2014	05/01/2014	HKD	HK	HKD	823254501	0	 	 	 	 	Lifestyle
APPLE	US	MAG1755.1	PBL MEDIA PTY LTD.	Cosmopolitan Bride Magazine Australia	1.3.8	1F	1	0	05/01/2014	05/01/2014	USD	EG	USD	823254501	0	 	 	 	 	Lifestyle
APPLE	US	com.magshop.ns.you.months.12.1	 	Yours Magazine  Subscription_600_365	 	IAY	1	0	05/01/2014	05/01/2014	AUD	AU	AUD	824470177	0	 	MAG2414	New	1 Year	Lifestyle
APPLE	US	SKU_Bauer_Australian_Geographic	PBL MEDIA PTY LTD.	Australian Geographic Magazine	1.0.16	7T	1	0	05/01/2014	05/01/2014	USD	CL	USD	661038898	0	 	 	 	 	Education
APPLE	US	SKU_Bauer_Australian_Geographic	PBL MEDIA PTY LTD.	Australian Geographic Magazine	1.0.16	1T	1	0	05/01/2014	05/01/2014	USD	CL	USD	661038898	0	 	 	 	 	Education
APPLE	US	SKU_Bauer_HNG	PBL MEDIA PTY LTD.	Australian House & Garden Magazine	1.0.10	1T	1	0	05/01/2014	05/01/2014	ZAR	ZA	ZAR	735558949	0	 	 	 	 	Lifestyle
APPLE	US	ACP_AWW_Recipes	PBL MEDIA PTY LTD.	The Australian Women's Weekly Cookbooks	2.2.1	1T	1	0	05/01/2014	05/01/2014	RUB	RU	RUB	393065903	0	 	 	 	 	Food & Drink
APPLE	US	MAG2068	PBL MEDIA PTY LTD.	Women's Fitness Magazine Australia	1.3.5	1F	1	0	05/01/2014	05/01/2014	EUR	SK	EUR	639975696	0	 	 	 	 	Health & Fitness
APPLE	US	MAG0256	PBL MEDIA PTY LTD.	Gourmet Traveller WINE Magazine	1.3.5	1F	5	0	05/01/2014	05/01/2014	AUD	AU	AUD	639981929	0	 	 	 	 	Lifestyle
APPLE	US	au.com.bauermedia.ellemag.2013.10.issue	 	Elle 2013.10 - Oct issue	 	IA1	1	41300	05/01/2014	05/01/2014	IDR	ID	IDR	697996878	59000	 	SKU_Bauer_ElleMag	 	 	Lifestyle
APPLE	US	MAG1273	PBL MEDIA PTY LTD.	recipes+ Magazine	1.3.5	1F	1	0	05/01/2014	05/01/2014	INR	IN	INR	574676839	0	 	 	 	 	Food & Drink
APPLE	US	MAG1273	PBL MEDIA PTY LTD.	recipes+ Magazine	1.3.5	1F	1	0	05/01/2014	05/01/2014	USD	PK	USD	574676839	0	 	 	 	 	Food & Drink
APPLE	US	MAG1273	PBL MEDIA PTY LTD.	recipes+ Magazine	1.3.5	1F	6	0	05/01/2014	05/01/2014	USD	PH	USD	574676839	0	 	 	 	 	Food & Drink
APPLE	US	GTRG2014	PBL MEDIA PTY LTD.	GT 2014 Restaurant Guide	1.2.5	1	1	0	05/01/2014	05/01/2014	GBP	GB	GBP	705700418	0	 	 	 	 	Food & Drink
APPLE	US	GTRG2014	PBL MEDIA PTY LTD.	GT 2014 Restaurant Guide	1.2.5	1	1	0	05/01/2014	05/01/2014	EUR	IT	EUR	705700418	0	 	 	 	 	Food & Drink
APPLE	US	MAG0449	PBL MEDIA PTY LTD.	Street Machine Magazine	1.3.5	1F	1	0	05/01/2014	05/01/2014	EUR	BE	EUR	639978561	0	 	 	 	 	Lifestyle
APPLE	US	MAG0553	PBL MEDIA PTY LTD.	ZOO Weekly Australia	1.3.5	1F	1	0	05/01/2014	05/01/2014	TRY	TR	TRY	622413964	0	 	 	 	 	Entertainment
APPLE	US	MAG0553	PBL MEDIA PTY LTD.	ZOO Weekly Australia	1.3.5	1F	1	0	05/01/2014	05/01/2014	EUR	SK	EUR	622413964	0	 	 	 	 	Entertainment
APPLE	US	au.com.bauermedia.wwmag.subscriptions.6mth	 	Weight Watchers Subscriptions_500_180	 	IAY	4	12.72	05/01/2014	05/01/2014	AUD	AU	AUD	646627179	19.99	 	SKU_Bauer_WeightWatchers	Renewal	6 Months	Health & Fitness
APPLE	US	ACP016	PBL MEDIA PTY LTD.	QANTAS Magazine	1.3.0	1T	1	0	05/01/2014	05/01/2014	USD	BR	USD	501279725	0	 	 	 	 	Travel
APPLE	US	MAG0369	PBL MEDIA PTY LTD.	NW Magazine	1.3.5	1F	43	0	05/01/2014	05/01/2014	AUD	AU	AUD	574650057	0	 	 	 	 	Entertainment
APPLE	US	MAG0553	PBL MEDIA PTY LTD.	ZOO Weekly Australia	1.3.5	1F	1	0	05/01/2014	05/01/2014	USD	DO	USD	622413964	0	 	 	 	 	Entertainment
APPLE	US	MAG1755.1	PBL MEDIA PTY LTD.	Cosmopolitan Bride Magazine Australia	1.3.8	1F	16	0	05/01/2014	05/01/2014	USD	US	USD	823254501	0	 	 	 	 	Lifestyle
APPLE	US	au.com.bauermedia.wwmag.subscriptions.1mth	 	Weight Watchers Subscriptions_200_30	 	IAY	2	2.54	05/01/2014	05/01/2014	AUD	AU	AUD	646627178	3.99	 	SKU_Bauer_WeightWatchers	Renewal	1 Month	Health & Fitness
APPLE	US	au.com.acpmagazines.aww.subscriptions.6months	 	AWW Paid Subscription_500_180	 	IAY	1	11.9	05/01/2014	05/01/2014	CAD	CA	CAD	471821269	16.99	 	ACP003	Renewal	6 Months	Entertainment
APPLE	US	com.magshop.ns.wdw.months.1.1	 	Woman's Day Subscription_200_30	 	IAY	13	6.36	05/01/2014	05/01/2014	AUD	AU	AUD	547528605	9.99	 	MAG0536	Renewal	1 Month	Entertainment
APPLE	US	MAG0004	PBL MEDIA PTY LTD.	4x4 Magazine Australia	1.3.5	1F	1	0	05/01/2014	05/01/2014	USD	CL	USD	639975024	0	 	 	 	 	Lifestyle
APPLE	US	MAG0004	PBL MEDIA PTY LTD.	4x4 Magazine Australia	1.3.5	1F	2	0	05/01/2014	05/01/2014	USD	BR	USD	639975024	0	 	 	 	 	Lifestyle
APPLE	US	SKU_Bauer_Australian_Geographic	PBL MEDIA PTY LTD.	Australian Geographic Magazine	1.0.16	1T	5	0	05/01/2014	05/01/2014	AUD	AU	AUD	661038898	0	 	 	 	 	Education
APPLE	US	com.magshop.clo.1405.1	 	Cleo 2014-05	 	IA1	2	3.81	05/01/2014	05/01/2014	AUD	AU	AUD	734199449	5.99	 	MAG0001	 	 	Lifestyle
APPLE	US	com.magshop.ns.aaa.1417.1	 	Auto Action 1417	 	IA1	1	3.18	05/01/2014	05/01/2014	AUD	AU	AUD	644113632	4.99	 	MAG0043	 	 	Sports
APPLE	US	ACP003	PBL MEDIA PTY LTD.	The Australian Women's Weekly	1.10.0	1T	1	0	05/01/2014	05/01/2014	SEK	SE	SEK	384025506	0	 	 	 	 	Entertainment
APPLE	US	ACP_AWW_Recipes	PBL MEDIA PTY LTD.	The Australian Women's Weekly Cookbooks	2.2.1	7T	2	0	05/01/2014	05/01/2014	EUR	NL	EUR	393065903	0	 	 	 	 	Food & Drink
APPLE	US	ACP_AWW_Recipes	PBL MEDIA PTY LTD.	The Australian Women's Weekly Cookbooks	2.2.1	7T	1	0	05/01/2014	05/01/2014	SAR	SA	SAR	393065903	0	 	 	 	 	Food & Drink
APPLE	US	com.magshop.ns.dol.1312.1	 	Dolly 1312	 	IA1	-1	2.8	05/01/2014	05/01/2014	CAD	CA	CAD	643549410	-3.99	 	MAG0184	 	 	Lifestyle
